Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Kunzea ericoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU815445.1,-,-,-,-,-,-,-,-,DQ499113.1,-,-,-,-,-,AF184724.1,-,AF184686.2
Kunzea flavescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850697.1,-,-,-,-,-,-,-,-,EU833160.1,-,-,-,-,-,-,-,-
Kunzea glabrescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850698.1,-,-,-,-,-,-,-,-,EU833161.1,-,-,-,-,-,-,-,-
Kunzea graniticola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU852331.1,-,-,-,-,-,-,-,-,DQ499114.1,-,-,-,-,-,-,-,-
Kunzea jucunda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU852332.1,-,-,-,-,-,-,-,-,EU833163.1,-,-,-,-,-,-,-,-
Kunzea leptospermoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850699.1,-,-,-,-,-,-,-,-,EU833164.1,-,-,-,-,-,-,-,-
Kunzea micrantha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850700.1,-,-,-,-,-,-,-,-,EU833165.1,-,-,-,-,-,-,-,-
Kunzea montana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850701.1,-,-,-,-,-,-,-,-,EU833166.1,-,-,-,-,-,AF184725.1,-,AF184687.2
Kunzea muelleri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850702.1,-,-,-,-,-,-,-,-,EU833167.1,-,-,-,-,-,-,-,-
Kunzea obovata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850703.1,-,-,-,-,-,-,-,-,EU833168.1,-,-,-,-,-,-,-,-
Kunzea opposita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850704.1,-,-,-,-,-,-,-,-,EU833169.1,-,-,-,-,-,-,-,-
Kunzea parvifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850705.1,-,-,-,-,-,-,-,-,EU833170.1,-,-,-,-,-,-,-,-
Kunzea pauciflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850706.1,-,-,-,-,-,-,-,-,EU833171.1,-,-,-,-,-,-,-,-
Kunzea peduncularis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850707.1,-,-,-,-,-,-,-,-,EU833172.1,-,-,-,-,-,-,-,-
Kunzea pelagia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850708.1,-,-,-,-,-,-,-,-,EU833173.1,-,-,-,-,-,-,-,-
Kunzea phylicioides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850709.1,-,-,-,-,-,-,-,-,EU833174.1,-,-,-,-,-,-,-,-
Kunzea pomifera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850710.1,-,-,-,-,-,-,-,-,EU833175.1,-,-,-,-,-,-,-,-
Kunzea preissiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_JX417121.1,-,-,-,-,-,-,-,-,-,-,-,JX417130.1,-,-,-,-,-,EU850711.1,-,-,-,-,-,-,-,-,EU833176.1,-,-,-,-,-,-,_R_JX417089.1,-
Kunzea pulchella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_JX417102.1,-,-,-,-,-,-,-,-,-,-,-,JX417125.1,-,-,-,-,-,EU850712.1,-,-,-,-,-,-,-,-,EU833177.1,-,-,-,-,-,AF184726.1,_R_JX417101.1,AF184688.2
Kunzea recurva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850713.1,-,-,-,-,-,-,-,-,EU833178.1,-,-,-,-,-,-,-,-
Kunzea rostrata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850714.1,-,-,-,-,-,-,-,-,EU833179.1,-,-,-,-,-,-,-,-
Kunzea rupestris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850715.1,-,-,-,-,-,-,-,-,EU833180.1,-,-,-,-,-,-,-,-
Kunzea sinclairii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU833127.1,-,-,-,-,-,-,-,-,AY772399.1,-,-,-,AY740901.1,-,KM065219.1,-,-
Kunzea sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850725.1,-,-,-,-,-,-,-,-,EU833190.1,-,-,-,-,-,-,-,-
Kunzea sulphurea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850716.1,-,-,-,-,-,-,-,-,EU833181.1,-,-,-,-,-,-,-,-
Kunzea vestita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AM235458.1,AM235602.1,AM235530.1,AM235422.1,-,-,-,-,-,-,AM235655.1
Lamarchea hakeifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049454.1,-,-,-,-,-,-,-,AF048894.1,-,-,-,-,-,-,-,-
Legrandia concinna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489921.1,-,-,-,-,-,-,-,-,AM234072.1,-,-,-,-,-,AM489990.1,_R_AM489839.1,-
Lenwebbia lasioclada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KF496306.1
Lenwebbia prominens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY521538.1,-,-
Leptospermum coriaceum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM116986.1,-,-,-,-,-,-,-,-
Leptospermum epacridoideum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184727.1,-,AF184689.2
Leptospermum erubescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184728.1,-,AF184690.2
Leptospermum grandifolium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064863.1,-,-,-,-,-,KM065072.1,-,-
Leptospermum laevigatum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850680.1,-,-,-,-,-,-,-,-,EU850664.1,-,-,-,-,-,JQ412255.1,-,JQ412378.1
Leptospermum lanigerum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850681.1,-,-,-,-,-,-,-,-,EU850665.1,-,-,-,-,-,KM065129.1,-,-
Leptospermum liversidgei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184729.1,-,AF184691.2
Leptospermum madidum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184730.1,-,AF184692.2
Leptospermum minutifolium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850682.1,-,-,-,-,-,-,-,-,EU850666.1,-,-,-,-,-,-,-,-
Leptospermum obovatum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850683.1,-,-,-,-,-,-,-,-,EU850667.1,-,-,-,-,-,-,-,-
Leptospermum oligandrum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184731.1,-,-
Leptospermum oligandrum.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184693.2
Leptospermum parvifolium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184732.1,-,AF184694.2
Leptospermum petersonii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064731.1,-,-,-,-,-,-,-,-,EU850663.1,-,-,-,-,-,KM065127.1,-,JN676919.1
Leptospermum polygalifolium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850684.1,-,-,-,-,-,-,-,-,EU850668.1,-,-,-,JN392740.1,-,AF184733.1,-,AF184695.2
Leptospermum rotundifolium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850685.1,-,-,-,-,-,-,-,-,EU850669.1,-,-,-,-,-,-,-,-
Leptospermum scoparium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489922.1,-,-,-,-,-,-,_R_AM235459.1,AM235603.1,AM234142.1,AM235423.1,-,-,AY740905.1,-,AM489991.1,_R_AM489840.1,AM235656.1
Leptospermum semibaccatum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN392747.1,-,-,-,-
Leptospermum sericeum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850686.1,-,-,-,-,-,-,-,-,EU850670.1,-,-,-,-,-,-,-,-
Leptospermum spectabile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498791.1,-,-,-,-,AY521539.1,-,-
Leptospermum spinescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184734.1,-,AF184696.2
Leptospermum trinervium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498792.1,-,-,JN392741.1,-,AF184735.2,-,AF184697.2
Leptospermum wooroonooran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF184736.1,-,KF496839.1
Lindsayomyrtus racemoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM160112.1,AY498793.1,-,-,-,-,AF184706.2,-,KF496850.1
Lithomyrtus obtusa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KF496511.1
Lophomyrtus bullata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489923.1,-,-,-,-,-,-,-,-,AM234145.1,-,-,-,-,-,AM489992.1,_R_AM489841.1,JQ933392.1
Lophomyrtus obcordata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489924.1,-,-,-,-,-,-,-,-,AM234146.1,-,-,-,-,-,AM489993.1,_R_AM489842.1,-
Lophostemon confertus,-,-,-,-,-,-,-,-,HQ287695.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489925.1,AF049457.1,-,-,-,-,-,_R_AM235460.1,AM235604.1,AF048897.1,AM235424.1,-,-,AF190385.1,-,AF184707.2,_R_AF190368.1,AM235657.1
Lophostemon suaveolens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY525134.1,-,KF496643.1
Luma apiculata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN661058.1,-,-,-,-,-,-,-,-,-,-,-,_R_JN661108.1,-,-,-,-,-,-,-,-,AM489926.1,-,-,-,-,-,-,_R_JN660959.1,-,AM234101.1,AY498795.1,-,-,-,-,AM489995.1,_R_AM489843.1,-
Luma chequen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN661059.2,-,-,-,-,-,-,-,-,-,-,-,_R_JN661109.1,-,-,-,-,-,-,-,-,AM489927.1,-,-,-,-,-,-,_R_JN660960.1,-,AM234102.1,-,-,-,-,-,_R_JN661010.1,_R_AM489844.1,-
Lysicarpus angustifolius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498796.1,-,-,-,-,AF368210.2,-,-
Malleostemon roseus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF489382.1,-,AF489326.1
Marlierea clausseniana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091253.1,-,-,-,-,-,-,-,-,JN091202.1,-,-,-,JN091326.1,-,-,_R_JN091393.1,-
Marlierea eugeniopsoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489928.1,-,-,-,-,-,-,-,-,AM234107.1,HM160099.1,-,-,JN091327.1,-,AM489996.1,_R_AM489845.1,-
Marlierea excoriata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091254.1,-,-,-,-,-,-,-,-,JN091203.1,-,-,-,JN091328.1,-,-,_R_JN091394.1,-
Marlierea glazioviana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091255.1,-,-,-,-,-,-,-,-,JN091204.1,-,-,-,JN091329.1,-,-,_R_JN091395.1,-
Marlierea obscura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489930.1,-,-,-,-,-,-,-,-,AM234109.1,-,-,-,JN091330.1,-,AM489997.1,_R_AM489847.1,-
Marlierea obversa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091258.1,-,-,-,-,-,-,-,-,JN091206.1,-,-,-,JN091331.1,-,-,_R_JN091397.1,-
Marlierea racemosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091259.1,-,-,-,-,-,-,-,-,JN091207.1,-,-,-,JN091332.1,-,JN091303.1,_R_JN091398.1,KF981253.1
Marlierea regeliana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091260.1,-,-,-,-,-,-,-,-,JN091208.1,-,-,-,JN091333.1,-,-,_R_JN091399.1,-
Marlierea suaveolens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489929.1,-,-,-,-,-,-,-,-,AM234108.1,-,-,-,JN091334.1,-,-,_R_AM489846.1,-
Marlierea sucrei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091261.1,-,-,-,-,-,-,-,-,JN091209.1,-,-,-,JN091335.1,-,-,_R_JN091400.1,-
Marlierea tomentosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091262.1,-,-,-,-,-,-,-,-,JN091210.1,-,-,-,JN091336.1,-,-,_R_JN091401.1,-
Melaleuca acacioides,-,-,-,EU410175.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296520.1,-,-,-,-,-,-,-,AF294583.1,EU410136.1,-,-,-,-,-,_R_EU410219.1,-
Melaleuca adnata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296521.1,-,-,-,-,-,-,-,AF294584.1,EU410137.1,-,-,-,-,-,-,-
Melaleuca aff.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY525135.1,-,-
Melaleuca alternifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AM235461.1,AM235605.1,AM235533.1,AM235425.1,-,-,-,-,KM065337.1,-,AM235658.1
Melaleuca apodocephala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410138.1,-,-,-,-,-,-,-
Melaleuca arcana,-,-,-,EU410182.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296522.1,-,-,-,-,-,-,-,AF294585.1,EU410139.1,-,-,-,-,-,_R_EU410222.1,-
Melaleuca argentea,-,-,-,EU410185.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296544.1,-,-,-,-,-,-,-,AF294608.1,EU410141.1,-,-,-,-,-,_R_EU410224.1,-
Melaleuca armillaris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049425.1,-,-,-,-,-,-,-,AF048867.1,-,-,-,-,-,KM065161.1,-,-
Melaleuca brachyandra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM116989.1,-,-,-,-,-,-,-,-
Melaleuca bracteata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296546.1,-,-,-,-,-,-,-,KM064816.1,-,-,-,-,-,KM065122.1,-,-
Melaleuca brevifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049426.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca brongniartii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049423.1,-,-,-,-,-,-,-,AF048865.1,-,-,-,-,-,-,-,-
Melaleuca brophyi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410144.1,-,-,-,-,-,-,-
Melaleuca cajuputi,-,-,-,EU410190.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF294586.1,EU410145.1,-,-,-,-,AB924992.1,_R_EU410227.1,AB925620.1
Melaleuca capitata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF048868.1,-,-,-,-,-,-,-,-
Melaleuca citrolens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296525.1,-,-,-,-,-,-,-,AF294596.1,-,-,-,-,-,-,-,-
Melaleuca conothamnoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410146.1,-,-,-,-,-,-,-
Melaleuca cordata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410148.1,-,-,-,-,-,-,-
Melaleuca cornucopiae,-,-,-,EU410178.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296526.1,-,-,-,-,-,-,-,AF294597.1,EU410147.1,-,-,-,-,-,_R_EU410220.1,-
Melaleuca coronicarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410149.1,-,-,-,-,-,-,-
Melaleuca ctenoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410150.1,-,-,-,-,-,-,-
