Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Beaufortia heterophylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049448.1,-,-,-,-,-,-,-,AF048887.1,-,-,-,-,-,-,-,-
Beaufortia orbifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049449.1,-,-,-,-,-,-,-,AF048888.1,AY498771.1,-,-,-,-,AY521530.1,-,-
Beaufortia sparsa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049450.1,-,-,-,-,-,-,-,AF048889.1,-,-,-,-,-,KM065149.1,-,-
Blepharocalyx cruckshanksii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN661055.1,-,-,-,-,-,-,-,-,-,-,-,_R_JN661105.1,-,-,-,-,-,-,-,-,AM489895.1,-,-,-,-,-,-,_R_JN660956.1,-,AM234070.1,-,-,-,-,-,AM489978.1,_R_AM489814.1,-
Blepharocalyx salicifolius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_JN661133.1,-,-,-,-,-,-,-,-,AM489896.1,-,-,-,-,-,-,_R_JN660984.1,-,AM234084.1,-,-,-,-,-,AM489979.1,_R_AM489815.1,KF981246.1
Blepharocalyx tweediei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498772.1,-,-,-,-,AY521531.1,-,-
Callistemon acuminatus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049408.1,-,-,-,-,-,-,-,AF048850.1,-,-,-,-,-,-,-,-
Callistemon buseanum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049419.1,-,-,-,-,-,-,-,AF048862.1,-,-,-,-,-,-,-,-
Callistemon citrinus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064753.1,-,-,-,-,-,-,_R_AM235455.1,AM235599.1,JX856422.1,AM235419.1,-,-,-,-,KM065118.1,JX856854.1,AM235652.1
Callistemon comboynensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489897.1,AF049409.1,-,-,-,-,-,-,-,AM234140.1,-,-,-,-,-,-,_R_AM489816.1,-
Callistemon glaucus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049410.1,-,-,-,-,-,-,-,AF294614.1,-,-,-,-,-,-,-,-
Callistemon gnidioides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049420.1,-,-,-,-,-,-,-,AF048863.1,-,-,-,-,-,-,-,-
Callistemon lanceolatus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FM887012.1,-,-,-,-,-,-,JX856857.1,JX856669.1
Callistemon linearis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049411.1,-,-,-,-,-,-,-,KM064790.1,-,-,-,-,-,KM065092.1,-,-
Callistemon pachyphyllus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF048851.1,-,-,-,-,-,-,-,-
Callistemon pallidus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049412.1,-,-,-,-,-,-,-,AF048852.1,-,-,-,-,-,-,-,-
Callistemon pancheri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049421.1,-,-,-,-,-,-,-,AF048864.1,-,-,-,-,-,-,-,-
Callistemon pearsonii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049413.1,-,-,-,-,-,-,-,AF048853.1,-,-,-,-,-,-,-,-
Callistemon phoeniceus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296550.1,-,-,-,-,-,-,-,AF048854.1,-,-,-,-,-,-,-,-
Callistemon pinifolius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049414.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Callistemon pityoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049415.1,-,-,-,-,-,-,-,AF048855.1,-,-,-,-,-,-,-,-
Callistemon polandii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF048856.1,AY498773.1,-,-,-,-,AF184705.3,JX856859.1,JX856672.1
